x-axis,1,NO_LBL
second,Volt,Volt
-1.9160000E+00,+215.2060E-03,+4.9849246E+00
-1.9158000E+00,+215.2060E-03,+4.9849246E+00
-1.9156000E+00,+134.8040E-03,+4.9849246E+00
-1.9154000E+00,+134.8040E-03,+4.9849246E+00
-1.9152000E+00,+134.8040E-03,+4.9849246E+00
-1.9150000E+00,+215.2060E-03,+4.9849246E+00
-1.9148000E+00,+134.8040E-03,+4.9849246E+00
-1.9146000E+00,+215.2060E-03,+4.9849246E+00
-1.9144000E+00,+134.8040E-03,+4.9849246E+00
-1.9142000E+00,+215.2060E-03,+4.9849246E+00
-1.9140000E+00,+215.2060E-03,+4.9849246E+00
-1.9138000E+00,+215.2060E-03,+4.9849246E+00
-1.9136000E+00,+215.2060E-03,+4.9849246E+00
-1.9134000E+00,+134.8040E-03,+4.9849246E+00
-1.9132000E+00,+134.8040E-03,+4.9849246E+00
-1.9130000E+00,+134.8040E-03,+4.9849246E+00
-1.9128000E+00,+134.8040E-03,+4.9849246E+00
-1.9126000E+00,+215.2060E-03,+4.9849246E+00
-1.9124000E+00,+134.8040E-03,+4.9849246E+00
-1.9122000E+00,+134.8040E-03,+4.9849246E+00
-1.9120000E+00,+215.2060E-03,+4.9849246E+00
-1.9118000E+00,+134.8040E-03,+4.9849246E+00
-1.9116000E+00,+215.2060E-03,+4.9849246E+00
-1.9114000E+00,+215.2060E-03,+4.9849246E+00
-1.9112000E+00,+134.8040E-03,+4.9849246E+00
-1.9110000E+00,+215.2060E-03,+4.9849246E+00
-1.9108000E+00,+134.8040E-03,+4.9045226E+00
-1.9106000E+00,+215.2060E-03,+4.9849246E+00
-1.9104000E+00,+134.8040E-03,+4.9849246E+00
-1.9102000E+00,+134.8040E-03,+4.9849246E+00
-1.9100000E+00,+215.2060E-03,+4.9849246E+00
-1.9098000E+00,+215.2060E-03,+4.9849246E+00
-1.9096000E+00,+215.2060E-03,+4.9849246E+00
-1.9094000E+00,+215.2060E-03,+4.9045226E+00
-1.9092000E+00,+134.8040E-03,+4.9849246E+00
-1.9090000E+00,+215.2060E-03,+4.9849246E+00
-1.9088000E+00,+134.8040E-03,+4.9849246E+00
-1.9086000E+00,+215.2060E-03,+4.9849246E+00
-1.9084000E+00,+215.2060E-03,+4.9849246E+00
-1.9082000E+00,+134.8040E-03,+4.9849246E+00
-1.9080000E+00,+134.8040E-03,+4.9849246E+00
-1.9078000E+00,+215.2060E-03,+4.9849246E+00
-1.9076000E+00,+215.2060E-03,+4.9849246E+00
-1.9074000E+00,+215.2060E-03,+4.9849246E+00
-1.9072000E+00,+134.8040E-03,+4.9849246E+00
-1.9070000E+00,+134.8040E-03,+4.9849246E+00
-1.9068000E+00,+215.2060E-03,+4.9849246E+00
-1.9066000E+00,+215.2060E-03,+4.9849246E+00
-1.9064000E+00,+215.2060E-03,+4.9849246E+00
-1.9062000E+00,+215.2060E-03,+4.9849246E+00
-1.9060000E+00,+3.1900804E+00,+4.9849246E+00
-1.9058000E+00,+3.1900804E+00,+4.9849246E+00
-1.9056000E+00,+3.1900804E+00,+4.9849246E+00
-1.9054000E+00,+3.2704824E+00,+4.9849246E+00
-1.9052000E+00,+3.1900804E+00,+5.0653266E+00
-1.9050000E+00,+134.8040E-03,+4.9849246E+00
-1.9048000E+00,+134.8040E-03,+4.9849246E+00
