x-axis,1,NO_LBL
second,Volt,Volt
-3.092340E+00,+20.020E-03,+504.121E-03
-3.087340E+00,+18.412E-03,+0.0E+00
-3.082340E+00,+18.814E-03,+498.492E-03
-3.077340E+00,+9.970E-03,+492.864E-03
-3.072340E+00,+20.020E-03,+498.492E-03
-3.067340E+00,+20.020E-03,+498.492E-03
-3.062340E+00,+20.020E-03,+498.492E-03
-3.057340E+00,+20.020E-03,+498.492E-03
-3.052340E+00,+16.000E-03,+498.492E-03
-3.047340E+00,+20.020E-03,+498.492E-03
-3.042340E+00,+20.020E-03,+498.492E-03
-3.037340E+00,+17.206E-03,+498.492E-03
-3.032340E+00,+20.020E-03,+498.492E-03
-3.027340E+00,+20.020E-03,+0.0E+00
-3.022340E+00,+16.000E-03,+0.0E+00
-3.017340E+00,+20.020E-03,+488.040E-03
-3.012340E+00,+21.226E-03,+490.452E-03
-3.007340E+00,+17.206E-03,+498.492E-03
-3.002340E+00,+17.206E-03,+498.492E-03
-2.997340E+00,+16.000E-03,+498.492E-03
-2.992340E+00,+18.814E-03,+498.492E-03
-2.987340E+00,+20.020E-03,+0.0E+00
-2.982340E+00,+16.000E-03,+490.452E-03
-2.977340E+00,+17.206E-03,+492.864E-03
-2.972340E+00,+20.020E-03,+498.492E-03
-2.967340E+00,+16.000E-03,+498.492E-03
-2.962340E+00,+20.020E-03,+496.080E-03
-2.957340E+00,+16.000E-03,+490.452E-03
-2.952340E+00,+18.814E-03,+496.080E-03
-2.947340E+00,+18.814E-03,+498.492E-03
-2.942340E+00,+17.206E-03,+498.492E-03
-2.937340E+00,+20.020E-03,+496.080E-03
-2.932340E+00,+20.020E-03,+490.452E-03
-2.927340E+00,+20.020E-03,+498.492E-03
-2.922340E+00,+18.814E-03,+498.492E-03
-2.917340E+00,+3.136E-03,+484.824E-03
-2.912340E+00,+20.020E-03,+490.452E-03
-2.907340E+00,+20.020E-03,+498.492E-03
-2.902340E+00,+20.020E-03,+498.492E-03
-2.897340E+00,+20.020E-03,+500.905E-03
-2.892340E+00,+20.020E-03,+496.080E-03
-2.887340E+00,+17.206E-03,+490.452E-03
-2.882340E+00,+17.206E-03,+498.492E-03
-2.877340E+00,+18.814E-03,+498.492E-03
-2.872340E+00,+18.814E-03,+490.452E-03
-2.867340E+00,+20.020E-03,+484.824E-03
-2.862340E+00,+20.020E-03,+490.452E-03
-2.857340E+00,+20.020E-03,+498.492E-03
